id;outfit_id;start_date;end_date
SpotRentals.00079e4c880f4ef6a89b0e8dd0762f1d;outfit.028bd28ce1184e1283d20ae44694bdb8;2022-12-11;2023-01-15
SpotRentals.001fe0456303438faa9843d7f2bc848f;outfit.5349817f34194e5f975f8d51af28c4ba;2024-01-26;2024-04-13
SpotRentals.002be3f511f149dd86aa709d87658cb3;outfit.268878c3e3e24d98bbc6e9770e2eb44c;2023-10-14;2023-11-04
SpotRentals.00314e08fb99450ab3d0e246f05a821a;outfit.40fd217f4ee74939aaf0422cf1478f6e;2020-11-14;2020-12-11
SpotRentals.003d01462d5248ff8bc5e1f37f143e93;outfit.c1e2e74fb2d84e07bec3185521fbea5b;2022-06-24;2022-07-22
SpotRentals.00449b1b4f7a4ae68dbf36e436d9c81e;outfit.20edc86dd20b42c0beda4c6ad90f5c3a;2023-07-03;2023-09-20
SpotRentals.004cb030c10f493bb5910a1cfacb873f;outfit.9186c9c2c5c44937968d8683b56c26ba;2020-05-16;2020-05-25
SpotRentals.0057cb414bce4a15bc40a15cc17eb18a;outfit.d1404a07cbda4bf68dd8d57cb0e32207;2021-02-03;2021-03-25
SpotRentals.0073ff19c0bc43a6bd3ff9ed53441789;outfit.a5650c1bada909fd;2021-08-17;2021-09-14
SpotRentals.007a443f19044e60a9e74d135dbb50ff;outfit.2e70c50ff5224c128f381b96af9dd5e0;2022-11-05;2023-01-06
SpotRentals.008897ececf9484b984823301f376358;outfit.c600b9f83f794bae9831091916c3f868;2023-07-26;2023-09-28
SpotRentals.009ce696b2194fdebc27f96cecde31d4;outfit.cf6a1c3019e04007954fdd515c7368b7;2023-05-22;2023-06-17
SpotRentals.00ac243ca9594319a7fd0e5b20556acf;outfit.aa2ec4968db140e9b4f64e581d729da4;2021-12-02;2022-01-22
SpotRentals.00b77bb88ced4e1381735d8ff2de987d;outfit.9fd0b4ab353a43879d3818473eacd9a1;2022-07-09;2022-08-27
SpotRentals.00eaf6dc7dec4ed0b0a5c59b8d51f11a;outfit.9d3fa377a55b400390c7b9926f16ce6f;2023-04-18;2023-05-13
SpotRentals.010c8b89f2b54937bbe763e223a85ffd;outfit.3d1ac33f7c004cdaaa26b37dbfbb8b7c;2023-08-24;2023-09-21
SpotRentals.01155e1b30e74185be6f40dbcc81c563;outfit.bdc81580030648a48acd9e91046c3d44;2020-03-04;2020-03-25
SpotRentals.0130003dfb42422bb4b087a2be2c3e4a;outfit.c61e8479d9354f47a382c6338c0769f7;2023-01-30;2023-02-25
SpotRentals.014b69ba9bba47899075d6d7ee1da1e9;outfit.b904e3fe74844f418cea3fce0928a5d4;2020-06-16;2020-07-17
SpotRentals.0152b4468850439087666942c7b4a2c0;outfit.ef7ddc016c5c46129c32f5676c077449;2022-06-11;2022-07-09
SpotRentals.01543064585744abb316f7e107d4099e;outfit.5629e618d62d4d70b4ec69a1f2abf199;2023-05-05;2023-06-08
SpotRentals.0159393ff7d84604a36cebbf48451f52;outfit.7d5887278cfb479b8c92081dc85ad698;2020-04-15;2020-05-07
SpotRentals.016094691df540f2a7d1c54eda1c65cf;outfit.acb94cbb42e1b894;2023-05-06;2023-06-03
SpotRentals.0180257804e64847ac40df83d648b2df;outfit.b1b698224edc4e63a6ace41d5aa4a362;2023-05-31;2023-07-22
SpotRentals.01939ecfcaea4ed3b0f82a2e0d6c37ce;outfit.833b2280ae99434db2fb843f78d79e25;2020-09-23;2020-10-02
SpotRentals.01bba2ec2362492293c86a80d9099a9c;outfit.12c66a78a00f40a2908e64050f4ad8e9;2020-06-04;2020-06-13
SpotRentals.01f86a164afc46eda209485d429fe3b8;outfit.cc3c5c121ce6447abc440ca05949d254;2023-05-30;2023-07-22
